Name,System,Year,Platform,Genre,Publisher,Global_Sales,Critic_Score,User_Score
Kinect Adventures!,XBOX,2010,X360,Misc,Microsoft Game Studios,21.81,61,6.3
Grand Theft Auto V,PLAYSTATION,2013,PS3,Action,Take-Two Interactive,21.04,97,8.2
Grand Theft Auto: San Andreas,PLAYSTATION,2004,PS2,Action,Take-Two Interactive,20.81,95,9
Grand Theft Auto V,XBOX,2013,X360,Action,Take-Two Interactive,16.27,97,8.1
Grand Theft Auto: Vice City,PLAYSTATION,2002,PS2,Action,Take-Two Interactive,16.15,95,8.7
Gran Turismo 3: A-Spec,PLAYSTATION,2001,PS2,Racing,Sony Computer Entertainment,14.98,95,8.4
Call of Duty: Modern Warfare 3,XBOX,2011,X360,Shooter,Activision,14.73,88,3.4
Call of Duty: Black Ops,XBOX,2010,X360,Shooter,Activision,14.61,87,6.3
Call of Duty: Black Ops II,PLAYSTATION,2012,PS3,Shooter,Activision,13.79,83,5.3
Call of Duty: Black Ops II,XBOX,2012,X360,Shooter,Activision,13.67,83,4.8
Call of Duty: Modern Warfare 2,XBOX,2009,X360,Shooter,Activision,13.47,94,6.3
Call of Duty: Modern Warfare 3,PLAYSTATION,2011,PS3,Shooter,Activision,13.32,88,3.2
Grand Theft Auto III,PLAYSTATION,2001,PS2,Action,Take-Two Interactive,13.1,97,8.5
Call of Duty: Black Ops,PLAYSTATION,2010,PS3,Shooter,Activision,12.63,88,6.4
Grand Theft Auto V,PLAYSTATION,2014,PS4,Action,Take-Two Interactive,12.61,97,8.3
Halo 3,XBOX,2007,X360,Shooter,Microsoft Game Studios,12.12,94,7.8
Gran Turismo 4,PLAYSTATION,2004,PS2,Racing,Sony Computer Entertainment,11.66,89,8.5
Grand Theft Auto IV,XBOX,2008,X360,Action,Take-Two Interactive,11.01,98,7.9
Gran Turismo,PLAYSTATION,1997,PS,Racing,Sony Computer Entertainment,10.95,96,8.7
Gran Turismo 5,PLAYSTATION,2010,PS3,Racing,Sony Computer Entertainment,10.7,84,7.5
Call of Duty: Modern Warfare 2,PLAYSTATION,2009,PS3,Shooter,Activision,10.6,94,6.3
Grand Theft Auto IV,PLAYSTATION,2008,PS3,Action,Take-Two Interactive,10.5,98,7.5
Call of Duty: Ghosts,XBOX,2013,X360,Shooter,Activision,10.25,73,2.6
Halo: Reach,XBOX,2010,X360,Shooter,Microsoft Game Studios,9.86,91,7.9
Final Fantasy VII,PLAYSTATION,1997,PS,Role-Playing,Sony Computer Entertainment,9.72,92,9.2
Halo 4,XBOX,2012,X360,Shooter,Microsoft Game Studios,9.71,87,7
Gran Turismo 2,PLAYSTATION,1999,PS,Racing,Sony Computer Entertainment,9.49,93,9
Call of Duty: Ghosts,PLAYSTATION,2013,PS3,Shooter,Activision,9.36,71,2.6
Call of Duty 4: Modern Warfare,XBOX,2007,X360,Shooter,Activision,9.31,94,8.4
The Elder Scrolls V: Skyrim,XBOX,2011,X360,Role-Playing,Bethesda Softworks,8.79,96,8.4
FIFA 16,PLAYSTATION,2015,PS4,Sports,Electronic Arts,8.57,82,4.3
Halo 2,XBOX,2004,XB,Shooter,Microsoft Game Studios,8.49,95,8.2
FIFA Soccer 13,PLAYSTATION,2012,PS3,Action,Electronic Arts,8.16,88,6.6
Final Fantasy X,PLAYSTATION,2001,PS2,Role-Playing,Sony Computer Entertainment,8.05,92,8.7
Final Fantasy VIII,PLAYSTATION,1999,PS,Role-Playing,SquareSoft,7.86,90,8.6
Grand Theft Auto: Liberty City Stories,PLAYSTATION,2005,PSP,Action,Take-Two Interactive,7.69,88,7.6
Call of Duty: Advanced Warfare,PLAYSTATION,2014,PS4,Shooter,Activision,7.66,83,5.7
FIFA 17,PLAYSTATION,2016,PS4,Sports,Electronic Arts,7.59,85,5
Call of Duty: World at War,XBOX,2008,X360,Shooter,Activision,7.38,84,7.6
Battlefield 3,XBOX,2011,X360,Shooter,Electronic Arts,7.32,84,7.4
Need for Speed Underground,PLAYSTATION,2003,PS2,Racing,Electronic Arts,7.2,85,8.6
Battlefield 3,PLAYSTATION,2011,PS3,Shooter,Electronic Arts,7.17,85,7.5
Fallout 4,PLAYSTATION,2015,PS4,Role-Playing,Bethesda Softworks,7.16,87,6.5
Tekken 3,PLAYSTATION,1998,PS,Fighting,Sony Computer Entertainment,7.16,96,9.1
Crash Bandicoot 3: Warped,PLAYSTATION,1998,PS,Platform,Sony Computer Entertainment,7.13,91,8.9
Need for Speed Underground 2,PLAYSTATION,2004,PS2,Racing,Electronic Arts,6.9,82,8.6
Medal of Honor: Frontline,PLAYSTATION,2002,PS2,Shooter,Electronic Arts,6.83,88,8.5
Gears of War 2,XBOX,2008,X360,Shooter,Microsoft Game Studios,6.75,93,7.7
Uncharted 3: Drake's Deception,PLAYSTATION,2011,PS3,Action,Sony Computer Entertainment,6.74,92,8.3
Call of Duty 4: Modern Warfare,PLAYSTATION,2007,PS3,Shooter,Activision,6.68,94,8.4
Uncharted 2: Among Thieves,PLAYSTATION,2009,PS3,Action,Sony Computer Entertainment,6.66,96,8.8
Red Dead Redemption,PLAYSTATION,2010,PS3,Action,Take-Two Interactive,6.49,95,8.8
FIFA 14,PLAYSTATION,2013,PS3,Sports,Electronic Arts,6.47,86,4.3
Assassin's Creed III,PLAYSTATION,2012,PS3,Action,Ubisoft,6.45,85,6.9
Halo: Combat Evolved,XBOX,2001,XB,Shooter,Microsoft Game Studios,6.43,97,8.6
The Elder Scrolls V: Skyrim,PLAYSTATION,2011,PS3,Role-Playing,Bethesda Softworks,6.41,92,6.4
Kingdom Hearts,PLAYSTATION,2002,PS2,Role-Playing,Sony Computer Entertainment,6.4,85,8.8
Halo 3: ODST,XBOX,2009,X360,Shooter,Microsoft Game Studios,6.34,83,7.1
Red Dead Redemption,XBOX,2010,X360,Action,Take-Two Interactive,6.32,95,9
Driver,PLAYSTATION,1999,PS,Action,GT Interactive,6.27,87,8.1
Gears of War 3,XBOX,2011,X360,Shooter,Microsoft Game Studios,6.21,91,7.8
Kinect Sports,XBOX,2010,X360,Sports,Microsoft Game Studios,6.19,73,7.4
Gears of War,XBOX,2006,X360,Shooter,Microsoft Game Studios,6.09,94,8.3
FIFA 15,PLAYSTATION,2014,PS4,Sports,Electronic Arts,6.08,82,5.7
Metal Gear Solid 2: Sons of Liberty,PLAYSTATION,2001,PS2,Action,Konami Digital Entertainment,6.05,96,8.7
Metal Gear Solid,PLAYSTATION,1998,PS,Action,Konami Digital Entertainment,6.03,94,9.4
Metal Gear Solid 4: Guns of the Patriots,PLAYSTATION,2008,PS3,Action,Konami Digital Entertainment,5.99,94,8.7
Final Fantasy XII,PLAYSTATION,2006,PS2,Role-Playing,Square Enix,5.95,92,7.6
The Last of Us,PLAYSTATION,2013,PS3,Action,Sony Computer Entertainment Europe,5.87,95,9.1
LittleBigPlanet,PLAYSTATION,2008,PS3,Platform,Sony Computer Entertainment,5.82,95,6.8
Resident Evil 2,PLAYSTATION,1998,PS,Action,Virgin Interactive,5.82,89,9.2
Tekken 2,PLAYSTATION,1996,PS,Fighting,Sony Computer Entertainment,5.74,89,8.9
Destiny,PLAYSTATION,2014,PS4,Shooter,Activision,5.64,76,6.1
Assassin's Creed II,PLAYSTATION,2009,PS3,Action,Ubisoft,5.55,91,8.6
Assassin's Creed,XBOX,2007,X360,Adventure,Ubisoft,5.54,81,7.7
Forza Motorsport 3,XBOX,2009,X360,Racing,Microsoft Game Studios,5.49,92,8
Monster Hunter Freedom Unite,PLAYSTATION,2008,PSP,Role-Playing,Capcom,5.48,81,8.7
Batman: Arkham City,PLAYSTATION,2011,PS3,Action,Warner Bros. Interactive Entertainment,5.48,96,8.6
Grand Theft Auto V,XBOX,2014,XOne,Action,Take-Two Interactive,5.48,97,7.9
Crash Bandicoot: The Wrath of Cortex,PLAYSTATION,2001,PS2,Platform,Universal Interactive,5.42,66,7.1
Call of Duty: World at War,PLAYSTATION,2008,PS3,Shooter,Activision,5.39,85,7.6
Uncharted 4: A Thief's End,PLAYSTATION,2016,PS4,Shooter,Sony Computer Entertainment,5.38,93,7.9
Final Fantasy XIII,PLAYSTATION,2009,PS3,Role-Playing,Square Enix,5.33,83,7.3
Final Fantasy IX,PLAYSTATION,2000,PS,Role-Playing,SquareSoft,5.3,94,8.9
Assassin's Creed III,XBOX,2012,X360,Action,Ubisoft,5.29,84,6.7
Final Fantasy X-2,PLAYSTATION,2003,PS2,Role-Playing,Electronic Arts,5.29,85,6.6
Call of Duty: Advanced Warfare,XBOX,2014,XOne,Shooter,Activision,5.27,81,5.4
Assassin's Creed II,XBOX,2009,X360,Action,Ubisoft,5.26,90,8.8
Dragon Quest VIII: Journey of the Cursed King,PLAYSTATION,2004,PS2,Role-Playing,Square Enix,5.21,89,8.8
FIFA Soccer 13,XBOX,2012,X360,Action,Electronic Arts,5.16,90,6.1
Medal of Honor: Rising Sun,PLAYSTATION,2003,PS2,Shooter,Electronic Arts,5.13,68,7.6
Guitar Hero II,PLAYSTATION,2006,PS2,Misc,RedOctane,5.12,92,8.5
Fable III,XBOX,2010,X360,Role-Playing,Microsoft Game Studios,5.1,80,6.5
Resident Evil 5,PLAYSTATION,2009,PS3,Action,Capcom,5.09,84,7.5
FIFA Soccer 11,PLAYSTATION,2010,PS3,Sports,Electronic Arts,5.07,89,8
Resident Evil,PLAYSTATION,1996,PS,Action,Virgin Interactive,5.05,91,9
Grand Theft Auto: Vice City Stories,PLAYSTATION,2006,PSP,Action,Take-Two Interactive,5.03,86,8
Tony Hawk's Pro Skater,PLAYSTATION,1999,PS,Sports,Activision,5.02,92,9.2
Guitar Hero III: Legends of Rock,PLAYSTATION,2007,PS2,Misc,Activision,4.98,82,8.2
Fallout 3,XBOX,2008,X360,Role-Playing,Bethesda Softworks,4.93,93,8.5
Uncharted: Drake's Fortune,PLAYSTATION,2007,PS3,Action,Sony Computer Entertainment,4.92,88,8.1
Madden NFL 06,PLAYSTATION,2005,PS2,Sports,Electronic Arts,4.91,88,8
Assassin's Creed,PLAYSTATION,2007,PS3,Adventure,Ubisoft,4.82,81,7.3
God of War III,PLAYSTATION,2010,PS3,Action,Sony Computer Entertainment,4.8,92,8.7
Crash Team Racing,PLAYSTATION,1999,PS,Racing,Sony Computer Entertainment,4.79,88,9
Driver 2,PLAYSTATION,2000,PS,Action,Atari,4.73,62,7.7
Batman: Arkham City,XBOX,2011,X360,Action,Warner Bros. Interactive Entertainment,4.73,94,8.7
Tony Hawk's Pro Skater 2,PLAYSTATION,2000,PS,Sports,Activision,4.68,98,7.7
The Lord of the Rings: The Two Towers,PLAYSTATION,2002,PS2,Action,Electronic Arts,4.67,82,8.2
Tomb Raider,PLAYSTATION,1996,PS,Action,Eidos Interactive,4.63,91,8.6
Uncharted: The Nathan Drake Collection,PLAYSTATION,2015,PS4,Action,Sony Computer Entertainment,4.62,86,8.1
Forza Motorsport 4,XBOX,2011,X360,Racing,Microsoft Game Studios,4.57,91,8.2
Madden NFL 2005,PLAYSTATION,2004,PS2,Sports,Electronic Arts,4.53,91,7.9
Guitar Hero III: Legends of Rock,XBOX,2007,X360,Misc,Activision,4.53,85,7.9
Madden NFL 07,PLAYSTATION,2006,PS2,Sports,Electronic Arts,4.49,84,8.2
Halo 5: Guardians,XBOX,2015,XOne,Shooter,Microsoft Game Studios,4.48,84,6.4
Spider-Man: The Movie,PLAYSTATION,2002,PS2,Action,Activision,4.48,76,7.9
Call of Duty: Infinite Warfare,PLAYSTATION,2016,PS4,Shooter,Activision,4.46,77,3.4
God of War,PLAYSTATION,2005,PS2,Action,Sony Computer Entertainment,4.45,94,8.9
Tony Hawk's Pro Skater 3,PLAYSTATION,2001,PS2,Sports,Activision,4.41,97,7.5
Winning Eleven: Pro Evolution Soccer 2007,PLAYSTATION,2006,PS2,Sports,Konami Digital Entertainment,4.39,86,8.9
The Elder Scrolls IV: Oblivion,XBOX,2006,X360,Role-Playing,Take-Two Interactive,4.38,94,8.7
Need for Speed: Most Wanted,PLAYSTATION,2005,PS2,Racing,Electronic Arts,4.37,82,9.1
Resistance: Fall of Man,PLAYSTATION,2006,PS3,Shooter,Sony Computer Entertainment,4.34,86,8.1
Kingdom Hearts II,PLAYSTATION,2005,PS2,Role-Playing,Square Enix,4.33,87,9
Fable II,XBOX,2008,X360,Role-Playing,Microsoft Game Studios,4.27,89,6.5
Batman: Arkham Asylum,PLAYSTATION,2009,PS3,Action,Eidos Interactive,4.23,91,8.9
Metal Gear Solid 3: Snake Eater,PLAYSTATION,2004,PS2,Action,Konami Digital Entertainment,4.23,91,9.3
Assassin's Creed: Revelations,PLAYSTATION,2011,PS3,Action,Ubisoft,4.22,80,7.5
Fallout 4,XBOX,2015,XOne,Role-Playing,Bethesda Softworks,4.22,88,6.2
FIFA 14,XBOX,2013,X360,Sports,Electronic Arts,4.22,84,4.2
Daxter,PLAYSTATION,2006,PSP,Platform,Sony Computer Entertainment,4.21,85,8.7
FIFA Soccer 06,PLAYSTATION,2005,PS2,Sports,Electronic Arts,4.21,80,7.8
EyeToy Play,PLAYSTATION,2003,PS2,Misc,Sony Computer Entertainment,4.2,80,7.5
Gran Turismo 5 Prologue,PLAYSTATION,2007,PS3,Racing,Sony Computer Entertainment,4.19,80,7.1
Assassin's Creed: Revelations,XBOX,2011,X360,Action,Ubisoft,4.19,80,7.2
Street Fighter IV,PLAYSTATION,2009,PS3,Fighting,Capcom,4.16,94,7.3
Madden NFL 2003,PLAYSTATION,2002,PS2,Sports,Electronic Arts,4.14,95,7.7
Battlefield 1,PLAYSTATION,2016,PS4,Shooter,Electronic Arts,4.08,88,8.4
God of War II,PLAYSTATION,2007,PS2,Action,Sony Computer Entertainment,4.07,93,8.9
Fallout: New Vegas,XBOX,2010,X360,Role-Playing,Bethesda Softworks,4.05,84,8.1
Forza Motorsport 2,XBOX,2007,X360,Racing,Microsoft Game Studios,4.05,90,8.3
Watch Dogs,PLAYSTATION,2014,PS4,Action,Ubisoft,4.05,80,6.3
Tekken Tag Tournament,PLAYSTATION,2000,PS2,Fighting,Namco Bandai Games,4.05,85,8.5
Far Cry 4,PLAYSTATION,2014,PS4,Shooter,Ubisoft,4.04,85,7.7
Left 4 Dead 2,XBOX,2009,X360,Shooter,Electronic Arts,3.97,89,8.6
The Witcher 3: Wild Hunt,PLAYSTATION,2015,PS4,Role-Playing,Namco Bandai Games,3.97,92,9.2
Assassin's Creed: Unity,PLAYSTATION,2014,PS4,Action,Ubisoft,3.96,70,4.9
Batman: Arkham Knight,PLAYSTATION,2015,PS4,Action,Warner Bros. Interactive Entertainment,3.95,87,7.6
Fallout 3,PLAYSTATION,2008,PS3,Role-Playing,Bethesda Softworks,3.94,90,8
Tony Hawk's Underground,PLAYSTATION,2003,PS2,Sports,Activision,3.9,90,8.7
NBA 2K16,PLAYSTATION,2015,PS4,Sports,Take-Two Interactive,3.88,87,6.7
Tekken 5,PLAYSTATION,2005,PS2,Fighting,Namco Bandai Games,3.87,88,8.6
MotorStorm,PLAYSTATION,2006,PS3,Racing,Sony Computer Entertainment,3.87,84,7.4
World Soccer Winning Eleven 8 International,PLAYSTATION,2004,PS2,Sports,Konami Digital Entertainment,3.85,91,9.1
Sports Champions,PLAYSTATION,2010,PS3,Sports,Sony Computer Entertainment,3.84,76,7.9
Call of Duty: Ghosts,PLAYSTATION,2013,PS4,Shooter,Activision,3.83,78,3.7
Tom Clancy's The Division,PLAYSTATION,2016,PS4,Shooter,Ubisoft,3.8,80,7
LEGO Indiana Jones: The Original Adventures,XBOX,2008,X360,Action,Activision,3.76,77,7.5
Harry Potter and the Sorcerer's Stone,PLAYSTATION,2001,PS,Action,Electronic Arts,3.73,64,7.5
Spyro: Year of the Dragon,PLAYSTATION,2000,PS,Platform,Sony Computer Entertainment,3.71,91,8.8
Assassin's Creed IV: Black Flag,PLAYSTATION,2013,PS3,Action,Ubisoft,3.71,88,8.1
FIFA Soccer 2005,PLAYSTATION,2004,PS2,Sports,Electronic Arts,3.7,81,7.6
Tony Hawk's Pro Skater 4,PLAYSTATION,2002,PS2,Sports,Activision,3.67,94,8.5
Midnight Club 3: DUB Edition,PLAYSTATION,2005,PSP,Racing,Take-Two Interactive,3.65,74,8.4
