System,Genre,Sale,Rating,User
PLAYSTATION,Action,676.88,68.45635528330781,72.6156202143951
PLAYSTATION,Adventure,33.92,65.48314606741573,71.5505617977528
PLAYSTATION,Fighting,150.68,70.97297297297297,75.36756756756756
PLAYSTATION,Misc,78.74,69.85039370078741,69.7007874015748
PLAYSTATION,Platform,109.17,69.48920863309353,73.27338129496403
PLAYSTATION,Puzzle,6.7,72.38095238095238,73.80952380952381
PLAYSTATION,Racing,260.47,70.2840909090909,72.75
PLAYSTATION,Role-Playing,234.66,71.52848101265823,76.18987341772151
PLAYSTATION,Shooter,360.79,69.28482972136223,71.41176470588235
PLAYSTATION,Simulation,48.92,69.51948051948052,76.97402597402598
PLAYSTATION,Sports,391.33,74.37323943661971,71.07511737089202
PLAYSTATION,Strategy,15.51,70.26470588235294,72.29411764705883
XBOX,Action,275.5,68.135,69.775
XBOX,Adventure,15.07,66.37837837837837,70.75675675675676
XBOX,Fighting,48.47,68.28260869565217,69.23913043478261
XBOX,Misc,77.73,68.14606741573034,66.66292134831461
XBOX,Platform,18.32,67.6078431372549,72.23529411764706
XBOX,Puzzle,0.46,45,46
XBOX,Racing,88.42,70.48447204968944,69.96894409937889
XBOX,Role-Playing,89.33,73.24096385542168,73.20481927710843
XBOX,Shooter,368.8,71.17931034482758,70.26896551724138
XBOX,Simulation,19.63,68.86,71.02
XBOX,Sports,183.08,74.76712328767124,70.77739726027397
XBOX,Strategy,10.13,71.61764705882354,74.05882352941177
