System,Publisher,Sale,Rating,User
PLAYSTATION,10TACLE Studios,0.02,42,70
PLAYSTATION,3DO,2.4,53.357142857142854,55.714285714285715
PLAYSTATION,505 Games,6.84,67.70967741935483,71.70967741935483
PLAYSTATION,5pb,0.04,67,82
PLAYSTATION,Acclaim Entertainment,13.8,64.1,70.8
PLAYSTATION,Acquire,0.14,61,71
PLAYSTATION,Activision,234.51,69.52272727272727,68.1875
PLAYSTATION,Activision Value,0.29000000000000004,42,46
PLAYSTATION,Agetec,0.29,72.5,83
PLAYSTATION,Aksys Games,0.1,66.5,71.5
PLAYSTATION,Alternative Software,0.04,64,68
PLAYSTATION,AQ Interactive,0.16,77,81
PLAYSTATION,Aqua Plus,0.11,75,78
PLAYSTATION,Arc System Works,0.32,73,72.5
PLAYSTATION,ASCII Entertainment,0.5,66,82
PLAYSTATION,Atari,45.61,67.05797101449275,73.17391304347827
PLAYSTATION,Atlus,2.73,80.44444444444444,80.55555555555556
PLAYSTATION,Avalon Interactive,0.07,64,41
PLAYSTATION,Avanquest,0.02,52,79
PLAYSTATION,BAM! Entertainment,1.4100000000000001,46.833333333333336,63
PLAYSTATION,Banpresto,0.14,65,82
PLAYSTATION,Bethesda Softworks,30.04,74.86666666666666,66.06666666666666
PLAYSTATION,Bigben Interactive,0.12,44.5,51
PLAYSTATION,Black Bean Games,0.87,67.75,60.75
PLAYSTATION,Black Label Games,1.2,59,51
PLAYSTATION,Brash Entertainment,0.07,33,45
PLAYSTATION,Capcom,72.14,72.45263157894736,74.17894736842105
PLAYSTATION,CCP,0.1,73,63
PLAYSTATION,City Interactive,1.1700000000000002,49.333333333333336,60
PLAYSTATION,Codemasters,19.88,70.07142857142857,68.92857142857143
PLAYSTATION,Compile Heart,0.32,56.333333333333336,73.66666666666667
PLAYSTATION,Crave Entertainment,2.96,66.57142857142857,71
PLAYSTATION,D3Publisher,2.31,65.54545454545455,66.27272727272727
PLAYSTATION,Deep Silver,7.71,57.08695652173913,53.869565217391305
PLAYSTATION,Devolver Digital,0.03,88,84
PLAYSTATION,DHM Interactive,0.04,67,61
PLAYSTATION,Disney Interactive Studios,9.48,63.666666666666664,68.61904761904762
PLAYSTATION,DreamCatcher Interactive,0.05,64,74
PLAYSTATION,DTP Entertainment,0.29000000000000004,46,57.5
PLAYSTATION,Dusenberry Martin Racing,0.05,66,38
PLAYSTATION,EA Games,0.14,75,65
PLAYSTATION,Eidos Interactive,28.51,67.9,74.38
PLAYSTATION,Electronic Arts,462.67,75.50700280112045,72.26050420168067
PLAYSTATION,Empire Interactive,5.77,58.75,66.75
PLAYSTATION,Enix Corporation,1.52,73.5,81
PLAYSTATION,Enterbrain,0.26,64,81.66666666666667
PLAYSTATION,ESP,0.05,69,75
PLAYSTATION,Falcom Corporation,0.4,79,83.66666666666667
PLAYSTATION,Focus Home Interactive,1.31,56.142857142857146,60.285714285714285
PLAYSTATION,Fox Interactive,0.16,61,75
PLAYSTATION,From Software,0.29,57.666666666666664,73
PLAYSTATION,FuRyu,0.06,61,75
PLAYSTATION,FuRyu Corporation,0.02,49,60
PLAYSTATION,Gamebridge,0.52,58,79
PLAYSTATION,Gamecock,0.05,51,45
PLAYSTATION,Gathering of Developers,0.31,48,55
PLAYSTATION,Gearbox Software,0.03,77,69
PLAYSTATION,Genki,1.09,61,87.5
PLAYSTATION,Ghostlight,1.43,79,80.16666666666667
PLAYSTATION,Global A Entertainment,0.03,70,64
PLAYSTATION,Global Star,3.27,59.142857142857146,73.57142857142857
PLAYSTATION,Gotham Games,1.57,55,86
PLAYSTATION,GT Interactive,8.5,86.66666666666667,87.33333333333333
PLAYSTATION,GungHo,0.32999999999999996,62.5,67.5
PLAYSTATION,Gust,0.2,70,82
PLAYSTATION,Harmonix Music Systems,0.38,78,63
PLAYSTATION,Hasbro Interactive,1.43,77,79
PLAYSTATION,Hello Games,1.7,71,45
PLAYSTATION,Hip Interactive,0.04,51,74
PLAYSTATION,Hudson Entertainment,0.06,55,78
PLAYSTATION,Human Entertainment,0.24000000000000002,55.5,65.5
PLAYSTATION,Idea Factory,0.26,61.5,74.83333333333333
PLAYSTATION,Idea Factory International,0.07,71,62
PLAYSTATION,Ignition Entertainment,2.94,67.625,75.0625
PLAYSTATION,Illusion Softworks,0.7,65,76
PLAYSTATION,Indie Games,0.32,63.333333333333336,84
PLAYSTATION,Infogrames,1.42,67.2,78.6
PLAYSTATION,Insomniac Games,0.08,69,73
PLAYSTATION,Interplay,1.17,75,81.33333333333333
PLAYSTATION,Introversion Software,0.03,80,80
PLAYSTATION,Irem Software Engineering,0.13,63.5,68
PLAYSTATION,Jaleco,0.22000000000000003,64,77
PLAYSTATION,Jester Interactive,0.44,71,87
PLAYSTATION,JoWood Productions,0.07,65,80
PLAYSTATION,Kadokawa Shoten,0.9,82,90
PLAYSTATION,Kalypso Media,0.39,67,73.66666666666667
PLAYSTATION,Kemco,0.23,61,92
PLAYSTATION,Konami Digital Entertainment,104.16,71.85365853658537,76
PLAYSTATION,LucasArts,33.68,70.85185185185185,69.74074074074075
PLAYSTATION,Majesco Entertainment,0.25,81.5,76.5
PLAYSTATION,Marvelous Interactive,0.76,62.5,77.25
PLAYSTATION,Mastertronic,0.02,30,42
PLAYSTATION,Mastiff,0.06,73,84
PLAYSTATION,Max Five,0.05,62,87
PLAYSTATION,Mercury Games,0.06,52,74
PLAYSTATION,Metro 3D,1.57,68,83.33333333333333
PLAYSTATION,Microids,0.1,66,75.5
PLAYSTATION,Midas Interactive Entertainment,1.28,61.142857142857146,74
PLAYSTATION,Midway Games,24.58,66.91836734693878,75.65306122448979
PLAYSTATION,Milestone S.r.l,0.09,71,80.5
PLAYSTATION,Milestone S.r.l.,0.4,69.5,67
PLAYSTATION,MTV Games,4.31,80.83333333333333,74.66666666666667
PLAYSTATION,Myelin Media,0.07,63,53
PLAYSTATION,Namco Bandai Games,79.44,67.4375,73.84375
PLAYSTATION,Natsume,0.11,60,70.5
PLAYSTATION,Nippon Ichi Software,5.97,66.28571428571429,70.08571428571429
PLAYSTATION,Nordic Games,0.15,56.6,49.6
PLAYSTATION,NovaLogic,0.46,58,88
PLAYSTATION,O-Games,0.11,58,41
PLAYSTATION,Oxygen Interactive,0.07,32,46
PLAYSTATION,Pacific Century Cyber Works,0.26,46,84
PLAYSTATION,Play It,3.42,58.44444444444444,73.66666666666667
PLAYSTATION,Playlogic Game Factory,0.38,52.666666666666664,74.33333333333333
PLAYSTATION,PM Studios,0.11,77,65
PLAYSTATION,PopCap Games,0.2,85,79
PLAYSTATION,PQube,1.99,77,78.41666666666667
PLAYSTATION,Psygnosis,0.99,88.66666666666667,84.33333333333333
PLAYSTATION,Rage Software,0.86,74,84
PLAYSTATION,Rebellion Developments,0.04,66,70
